,avg_unemployment,survey_year,Outcome,number_of_internships,primary_major,Gender,primary_college,Outcome_binary,Total Unique Fairs Attended,total_apps,Educations Cumulative Gpa,ipp_flag,Internship_binary,binary_cont_education,binary_still_looking,fairs_above_avg,apps_above_avg,Appointment_Count,appointment_binary
5903,4.0,2024,Still Looking,0,Engineering - Aerospace Engineering,Male,School of Engineering & Applied Science,0,5,21,3.68,0,0,0,1,1,0,0.0,0
5904,4.0,2024,Continuing Education,1,Architecture,Male,School of Architecture,0,0,0,3.96,0,1,1,0,0,0,0.0,0
5905,4.0,2024,Continuing Education,3,Mathematics,Male,College and Graduate School of Arts & Sciences,0,0,360,,0,1,1,0,0,1,0.0,0
5906,4.0,2024,Continuing Education,3,Mathematics,Male,College and Graduate School of Arts & Sciences,0,0,360,3.7,0,1,1,0,0,1,0.0,0
5907,4.0,2024,Working,0,Engineering - Chemical Engineering,Female,School of Engineering & Applied Science,1,0,0,,0,0,0,0,0,0,0.0,0
5908,4.0,2024,Continuing Education,2,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,0,22,,0,1,1,0,0,0,0.0,0
5909,4.0,2024,Continuing Education,2,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,0,10,,0,1,1,0,0,0,0.0,0
5910,4.0,2024,Not Seeking,1,French,Female,College and Graduate School of Arts & Sciences,0,1,0,4.43,0,1,0,0,0,0,0.0,0
5911,4.0,2024,Still Looking,3,Global Studies - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,13,36,3.8,0,1,0,1,1,0,0.0,0
5912,4.0,2024,Working,0,Education - Athletic Training,Female,School of Education and Human Development,1,0,0,,0,0,0,0,0,0,0.0,0
5913,4.0,2024,Still Looking,0,Engineering - Mechanical Engineering,Female,School of Engineering & Applied Science,0,5,97,2.6,0,0,0,1,1,1,0.0,0
5914,4.0,2024,Working,2,Psychology,Female,College and Graduate School of Arts & Sciences,1,0,0,,0,1,0,0,0,0,0.0,0
5915,4.0,2024,Working,1,Biology,Male,College and Graduate School of Arts & Sciences,1,1,47,3.8,0,1,0,0,0,0,0.0,0
5916,4.0,2024,Working,1,Philosophy,Male,College and Graduate School of Arts & Sciences,1,0,18,,0,1,0,0,0,0,1.0,1
5917,4.0,2024,Working,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,2,27,,0,1,0,0,1,0,0.0,0
5918,4.0,2024,Working,3,Engineering - Civil Engineering,Male,School of Engineering & Applied Science,1,3,3,,0,1,0,0,1,0,0.0,0
5919,4.0,2024,Working,1,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,8,326,3.12,0,1,0,0,1,1,1.0,1
5920,4.0,2024,Still Looking,0,Biology,Female,College and Graduate School of Arts & Sciences,0,0,0,,0,0,0,1,0,0,0.0,0
5921,4.0,2024,Military,0,Nursing,Female,School of Nursing,0,0,0,,0,0,0,0,0,0,0.0,0
5922,4.0,2024,Military,0,Nursing,Female,School of Nursing,0,0,0,3.8,0,0,0,0,0,0,0.0,0
5923,4.0,2024,Working,0,Biology,Female,College and Graduate School of Arts & Sciences,1,0,0,,0,0,0,0,0,0,2.0,1
5924,4.0,2024,Continuing Education,2,Biology,Male,College and Graduate School of Arts & Sciences,0,0,2,,0,1,1,0,0,0,0.0,0
5925,4.0,2024,Still Looking,2,Media Studies,Female,College and Graduate School of Arts & Sciences,0,3,60,3.6,0,1,0,1,1,1,0.0,0
5926,4.0,2024,Still Looking,2,Media Studies,Female,College and Graduate School of Arts & Sciences,0,3,60,,0,1,0,1,1,1,0.0,0
5927,4.0,2024,Continuing Education,3,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,0,4,530,4.35,0,1,1,0,1,1,0.0,0
5928,4.0,2024,Continuing Education,3,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,0,4,530,,0,1,1,0,1,1,0.0,0
5929,4.0,2024,Working,3,Education - Athletic Training,Female,School of Education and Human Development,1,0,14,,0,1,0,0,0,0,3.0,1
5930,4.0,2024,Working,3,Education - Athletic Training,Female,School of Education and Human Development,1,0,14,2.51,0,1,0,0,0,0,3.0,1
5931,4.0,2024,Working,1,Engineering - Chemical Engineering,Female,School of Engineering & Applied Science,1,4,68,,0,1,0,0,1,1,0.0,0
5932,4.0,2024,Working,1,Engineering - Chemical Engineering,Female,School of Engineering & Applied Science,1,4,68,3.25,0,1,0,0,1,1,0.0,0
5933,4.0,2024,Continuing Education,0,Economics,Male,College and Graduate School of Arts & Sciences,0,0,30,3.3,0,0,1,0,0,0,0.0,0
5934,4.0,2024,Continuing Education,0,Economics,Male,College and Graduate School of Arts & Sciences,0,0,30,3.61,0,0,1,0,0,0,0.0,0
5935,4.0,2024,Working,1,Human Biology - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,0,9,,0,1,0,0,0,0,8.0,1
5936,4.0,2024,Still Looking,1,Cognitive Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,2,90,3.75,0,1,0,1,1,1,0.0,0
5937,4.0,2024,Still Looking,1,Cognitive Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,2,90,,0,1,0,1,1,1,0.0,0
5938,4.0,2024,Still Looking,1,Cognitive Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,2,90,4.4,0,1,0,1,1,1,0.0,0
5939,4.0,2024,Still Looking,2,Foreign Affairs,Male,College and Graduate School of Arts & Sciences,0,5,146,,0,1,0,1,1,1,0.0,0
5940,4.0,2024,Still Looking,2,Foreign Affairs,Male,College and Graduate School of Arts & Sciences,0,5,146,3.59,0,1,0,1,1,1,0.0,0
5941,4.0,2024,Not Seeking,1,Engineering - Computer Science,Female,School of Engineering & Applied Science,0,5,616,,0,1,0,0,1,1,4.0,1
5942,4.0,2024,Working,1,Engineering - Computer Engineering,Female,School of Engineering & Applied Science,1,1,407,,0,1,0,0,0,1,0.0,0
5943,4.0,2024,Working,1,Economics,Male,College and Graduate School of Arts & Sciences,1,0,31,3.68,1,1,0,0,0,0,0.0,0
5944,4.0,2024,Working,1,Economics,Male,College and Graduate School of Arts & Sciences,1,0,31,4.4,1,1,0,0,0,0,0.0,0
5945,4.0,2024,Working,1,Economics,Male,College and Graduate School of Arts & Sciences,1,0,31,,1,1,0,0,0,0,0.0,0
5946,4.0,2024,Continuing Education,1,Biology,Male,College and Graduate School of Arts & Sciences,0,1,1,,1,1,1,0,0,0,2.0,1
5947,4.0,2024,Still Looking,3,Philosophy,Male,College and Graduate School of Arts & Sciences,0,2,0,4.4,0,1,0,1,1,0,0.0,0
5948,4.0,2024,Working,2,Computer Science,Female,College and Graduate School of Arts & Sciences,1,1,48,,0,1,0,0,0,1,0.0,0
5949,4.0,2024,Continuing Education,2,Economics,Male,College and Graduate School of Arts & Sciences,0,0,123,,0,1,1,0,0,1,0.0,0
5950,4.0,2024,Continuing Education,2,Economics,Male,College and Graduate School of Arts & Sciences,0,0,123,3.0,0,1,1,0,0,1,0.0,0
5951,4.0,2024,Still Looking,0,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,1,0,,0,0,0,1,0,0,2.0,1
5952,4.0,2024,Continuing Education,2,Philosophy,Female,College and Graduate School of Arts & Sciences,0,1,70,,0,1,1,0,0,1,1.0,1
5953,4.0,2024,Military,2,Engineering - Computer Science,Male,School of Engineering & Applied Science,0,0,0,,0,1,0,0,0,0,0.0,0
5954,4.0,2024,Working,3,Education - Kinesiology,Male,School of Education and Human Development,1,2,39,3.45,0,1,0,0,1,0,11.0,1
5955,4.0,2024,Working,3,Education - Kinesiology,Male,School of Education and Human Development,1,2,39,,0,1,0,0,1,0,11.0,1
